question_id,content,options,answer,skill_id_list,difficulty
Chg1_Q12_MCQ,"Yếu tố nào liên quan đến thiết kế website TMĐT ảnh hưởng trực tiếp đến sự thành công của giao dịch?","[""A. Khả năng sử dụng (Usability) và Trải nghiệm người dùng (UX/UI) tốt"",""B. Website có nhiều màu sắc sặc sỡ"",""C. Website sử dụng tên miền .com"",""D. Website có nhiều quảng cáo pop-up""]",A,"[""1.5_NhanToThanhCong""]",medium

Chg2_Q1_MCQ,"Mạng riêng tư, sử dụng công nghệ Internet để phục vụ giao tiếp và chia sẻ thông tin trong nội bộ một tổ chức được gọi là gì?","[""A. Internet"",""B. Extranet"",""C. Intranet"",""D. LAN""]",C,"[""2.1_HaTangMang""]",easy
Chg2_Q6_MCQ,"Một mạng riêng, sử dụng công nghệ Internet để kết nối an toàn với các đối tác, nhà cung cấp bên ngoài tổ chức được gọi là gì?","[""A. Internet"",""B. Extranet"",""C. Intranet"",""D. VPN""]",B,"[""2.1_HaTangMang""]",medium
Chg2_Q7_MCQ,"Hệ thống mạng máy tính toàn cầu, kết nối hàng triệu máy tính và mạng máy tính lại với nhau được gọi là gì?","[""A. Intranet"",""B. Extranet"",""C. Internet"",""D. LAN (Mạng cục bộ)""]",C,"[""2.1_HaTangMang""]",easy
Chg2_Q2_MCQ,"Đâu là vai trò chính của CSS (Cascading Style Sheets) trong một website TMĐT?","[""A. Xử lý logic nghiệp vụ và kết nối CSDL"",""B. Cấu trúc nội dung của trang web (văn bản, hình ảnh)"",""C. Mô tả cách trình bày, định dạng (màu sắc, phông chữ, bố cục) của trang web"",""D. Xử lý các giao dịch thanh toán an toàn""]",C,"[""2.2_WebsiteTMDT""]",easy
Chg2_Q8_MCQ,"Ngôn ngữ nào sau đây được sử dụng để định nghĩa cấu trúc (headings, paragraphs, images) của một trang web?","[""A. HTML"",""B. CSS"",""C. JavaScript"",""D. PHP""]",A,"[""2.2_WebsiteTMDT""]",easy
Chg2_Q9_MCQ,"Vai trò chính của JavaScript trong một website TMĐT là gì?","[""A. Định dạng màu sắc và phông chữ"",""B. Lưu trữ cơ sở dữ liệu"",""C. Tạo ra các yếu tố tương tác (như slideshow, popup, kiểm tra form)"",""D. Cấu trúc nội dung chính""]",C,"[""2.2_WebsiteTMDT""]",medium
Chg2_Q10_MCQ,"Chức năng quan trọng nhất của Tên miền (Domain Name) đối với website TMĐT là gì?","[""A. Xác định vị trí địa lý của doanh nghiệp"",""B. Giúp người dùng truy cập website thông qua tên dễ nhớ thay vì địa chỉ IP"",""C. Tự động quảng cáo website trên Google"",""D. Tăng tốc độ xử lý giao dịch thanh toán"" ]",B,"[""2.2_WebsiteTMDT""]",medium
Chg2_Q3_MCQ,"Tại Việt Nam, văn bản pháp lý nào được xem là ""xương sống"", quy định chi tiết về hoạt động của website TMĐT bán hàng và Sàn giao dịch TMĐT?","[""A. Luật Giao dịch Điện tử 2005"",""B. Nghị định 52/2013/NĐ-CP (và các nghị định sửa đổi)"",""C. Luật Quảng cáo"",""D. Luật An ninh mạng""]",B,"[""2.3_PhapLy""]",easy
Chg2_Q5_MCQ,"Trong tình huống Chic & Co., hành vi nào sau đây được xem là VI PHẠM quy định bảo vệ dữ liệu cá nhân theo Nghị định 52?","[""A. Thu thập email khách hàng để gửi thông báo khuyến mãi"",""B. Tự ý chia sẻ thông tin cá nhân khách hàng cho bên thứ ba mà không có sự đồng ý"",""C. Yêu cầu khách hàng đăng ký tài khoản khi mua hàng"",""D. Lưu trữ lịch sử mua hàng của khách"" ]",B,"[""2.3_PhapLy""]",medium
Chg2_Q11_MCQ,"Theo Nghị định 52, website TMĐT bán hàng (doanh nghiệp tự bán hàng của mình) phải thực hiện thủ tục gì với Bộ Công Thương?","[""A. Xin giấy phép"",""B. Thông báo trực tuyến"",""C. Đăng ký trực tuyến"",""D. Không cần làm gì""]",B,"[""2.3_PhapLy""]",medium
Chg2_Q12_MCQ,"Các website như Shopee, Lazada, Tiki được phân loại là gì theo pháp luật Việt Nam?","[""A. Website TMĐT bán hàng"",""B. Sàn giao dịch TMĐT"",""C. Website quảng cáo"",""D. Mạng xã hội""]",B,"[""2.3_PhapLy""]",easy
Chg2_Q4_MCQ,"Tổ chức cung cấp dịch vụ chứng thực chữ ký điện tử (CA) có vai trò gì?","[""A. Kiểm tra tốc độ đường truyền Internet"",""B. Cấp và quản lý chứng thư số để đảm bảo tính xác thực và toàn vẹn của chữ ký số"",""C. Lưu trữ toàn bộ dữ liệu của người dùng"",""D. Hỗ trợ doanh nghiệp thiết kế website"" ]",B,"[""2.4_ChuKyDienTu""]",medium
Chg2_Q13_MCQ,"Chữ ký số (Digital Signature) dựa trên công nghệ nào để đảm bảo tính toàn vẹn và xác thực?","[""A. Mã hóa đối xứng (Symmetric)"",""B. Mã hóa bất đối xứng (Asymmetric) / Hạ tầng khóa công khai (PKI)"",""C. Mã MD5"",""D. Mạng xã hội""]",B,"[""2.4_ChuKyDienTu""]",hard
Chg2_Q14_MCQ,"Theo Luật Giao dịch Điện tử Việt Nam, chữ ký số (được chứng thực bởi CA) có giá trị pháp lý tương đương với gì?","[""A. Lời hứa"",""B. Email xác nhận"",""C. Chữ ký tay và con dấu (nếu có)"",""D. Không có giá trị pháp lý""]",C,"[""2.4_ChuKyDienTu""]",medium
