Question_ID,Skill_ID_List,Content,Options,Answer,Difficulty,Explanation
"Q1.021","1.2_TimKiem","Toán tử “-” dùng để:","['A. Tìm cụm từ chính xác', 'B. Loại trừ từ khóa', 'C. Thêm từ khóa', 'D. Tìm định nghĩa']","B","Medium",""
"Q1.022","1.2_TimKiem","Dấu ngoặc kép """" trong tìm kiếm dùng để:","['A. Loại trừ kết quả', 'B. Mở rộng phạm vi tìm', 'C. Tìm cụm từ chính xác', 'D. Lọc theo file']","C","Medium",""
"Q1.023","1.2_TimKiem","Để tìm bài viết về AI trên vnexpress.net, bạn dùng cú pháp:","['A. AI inurl:vnexpress', 'B. AI site:vnexpress.net', 'C. AI filetype:vnexpress', 'D. AI intitle:vnexpress']","B","Medium",""
"Q1.024","1.2_TimKiem","Google Scholar được dùng để:","['A. Tìm kiếm tài khoản Gmail', 'B. Tìm thông tin thời tiết', 'C. Tìm tài liệu học thuật', 'D. Tra cứu hình ảnh']","C","Medium",""
"Q1.025","1.2_TimKiem","Toán tử “OR” dùng để:","['A. Loại từ', 'B. Tìm một trong các từ khóa', 'C. Ghép 2 cụm từ', 'D. Tìm cụm từ trong tiêu đề']","B","Medium",""
"Q1.026","1.2_TimKiem","Long-tail keyword là:","['A. Từ khóa dài và cụ thể', 'B. Từ khóa lặp lại', 'C. Từ viết tắt', 'D. Từ khóa phổ biến']","A","Medium",""
"Q1.027","1.2_TimKiem","Để tìm bài PDF, bạn dùng toán tử nào?","['A. filetype:pdf', 'B. ext:.pdf', 'C. docfile:pdf', 'D. findtype:pdf']","A","Medium",""
"Q1.028","1.2_TimKiem","Ví dụ nào là từ khóa rõ ràng và cụ thể?","['A. Công nghệ', 'B. Công nghệ blockchain trong logistics', 'C. Thị trường', 'D. Tác động']","B","Medium",""
"Q1.029","1.2_TimKiem","Bộ lọc theo thời gian dùng để:","['A. Tìm thông tin trong 1 khu vực', 'B. Tìm tài liệu đúng độ tuổi', 'C. Giới hạn kết quả theo năm, tháng', 'D. Chỉ tìm định dạng .docx']","C","Medium",""
"Q1.030","1.2_TimKiem","Kết hợp nhiều điều kiện lọc trong tìm kiếm bằng:","['A. TO', 'B. SUM', 'C. AND', 'D. LIST']","C","Medium",""
"Q1.031","1.4_XuLy","Kỹ thuật lọc được sử dụng nhiều trong:","['A. Trình duyệt', 'B. Google Docs', 'C. Excel, SQL, Pandas', 'D. Gmail']","C","Medium",""
"Q1.032","1.4_XuLy","Lọc dữ liệu theo điều kiện thường dùng toán tử:","['A. +', 'B. =', 'C. AND, OR', 'D. IN']","C","Medium",""
"Q1.033","1.2_TimKiem","Filetype:pdf ""AI applications"" giúp bạn:","['A. Tìm video AI', 'B. Tìm ảnh về AI', 'C. Tìm file PDF liên quan đến AI', 'D. Tìm trang web']","C","Medium",""
"Q1.034","1.4_XuLy","Lọc theo thời gian thường áp dụng trong:","['A. Xem video', 'B. Lọc dữ liệu theo ngày/tháng', 'C. Đổi màu văn bản', 'D. Chỉnh sửa file']","B","Medium",""
"Q1.035","1.4_XuLy","Web scraping là kỹ thuật:","['A. Bảo vệ web', 'B. Truy xuất dữ liệu tự động', 'C. Duyệt thủ công', 'D. Mã hóa dữ liệu']","B","Medium",""
"Q1.036","1.4_XuLy","Công cụ nào sau đây KHÔNG dùng để web scraping?","['A. BeautifulSoup', 'B. Selenium', 'C. Canva', 'D. Scrapy']","C","Medium",""
"Q1.037","1.4_XuLy","Google Dataset Search giúp:","['A. Chạy quảng cáo', 'B. Tìm tập dữ liệu công khai', 'C. Tạo website', 'D. Viết mã']","B","Medium",""
"Q1.038","1.4_XuLy","Pandas là thư viện dùng trong ngôn ngữ nào?","['A. C++', 'B. Java', 'C. Python', 'D. PHP']","C","Medium",""
"Q1.039","1.4_XuLy","Một ứng dụng của Pandas là:","['A. Tạo ảnh', 'B. Lập kế hoạch', 'C. Phân tích và xử lý dữ liệu', 'D. Tìm kiếm video']","C","Medium",""
"Q1.040","1.4_XuLy","Định dạng dữ liệu nào phổ biến trong Google Dataset Search?","['A. PSD', 'B. DOCX', 'C. CSV', 'D. MP3']","C","Medium",""
"Q1.041","1.1_TongQuan","Thông tin số là gì theo Luật Công nghệ thông tin 2006?","['A. Thông tin truyền miệng', 'B. Thông tin được tạo lập bằng phương pháp tín hiệu số', 'C. Thông tin trên báo in', 'D. Dữ liệu được lưu trữ bằng giấy tờ']","B","Medium",""
"Q1.042","1.1_TongQuan","Ví dụ nào sau đây KHÔNG phải là thông tin số?","['A. Sách giấy truyền thống', 'B. File PDF thống kê dân số', 'C. Ứng dụng điện thoại', 'D. Video lưu trữ trên YouTube']","A","Medium",""
"Q1.043","1.3_KiemChung","Thông tin sai lệch (misinformation) là gì?","['A. Thông tin đúng được chia sẻ sai thời điểm', 'B. Thông tin sai được chia sẻ đúng thời điểm', 'C. Thông tin sai nhưng được chia sẻ không có chủ đích', 'D. Thông tin đúng nhưng gây hiểu nhầm']","C","Medium",""
"Q1.044","1.3_KiemChung","Thông tin xuyên tạc (disinformation) có đặc điểm nào?","['A. Được chia sẻ do thiếu kiến thức', 'B. Bị lỗi chính tả', 'C. Có mục đích lừa dối, gây hại', 'D. Không có tác hại đến xã hội']","C","Medium",""
"Q1.045","1.3_KiemChung","Tin giả (Fake News) thường có hình thức nào?","['A. Báo cáo học thuật', 'B. Clickbait, tin đồn', 'C. Thư tín chính thức', 'D. Video hướng dẫn học tập']","B","Medium",""
"Q1.046","1.3_KiemChung","Bias trong thông tin có nghĩa là gì?","['A. Thông tin chính xác tuyệt đối', 'B. Thông tin được trình bày trung lập', 'C. Thông tin có thiên vị', 'D. Thông tin bị ẩn danh']","C","Medium",""
"Q1.047","1.3_KiemChung","Ví dụ về Confirmation Bias là gì?","['A. Người đọc nghi ngờ mọi thông tin', 'B. Tin vào thông tin trái ngược niềm tin', 'C. Chỉ tin và chia sẻ thông tin phù hợp niềm tin sẵn có', 'D. Không quan tâm đến bất kỳ thông tin nào']","C","Medium",""
"Q1.048","1.3_KiemChung","Thông tin thật (Information Accuracy) nên có yếu tố nào?","['A. Dựa vào tin đồn', 'B. Được xác minh, kiểm chứng, từ nguồn chính thống', 'C. Có nhiều lượt chia sẻ trên mạng', 'D. Không có nguồn trích dẫn']","B","Medium",""
"Q1.049","1.3_KiemChung","Mô hình CRAAP KHÔNG bao gồm yếu tố nào sau đây?","['A. Relevance', 'B. Accuracy', 'C. Popularity', 'D. Purpose']","C","Medium",""
"Q1.050","1.3_KiemChung","Authority trong CRAAP dùng để đánh giá gì?","['A. Mức độ chia sẻ trên mạng', 'B. Địa chỉ email người dùng', 'C. Thẩm quyền của nguồn tin', 'D. Tốc độ truyền tin']","C","Medium",""
"Q1.051","1.3_KiemChung","CRAAP: Currency đề cập đến yếu tố gì?","['A. Ngôn ngữ của thông tin', 'B. Ngày xuất bản hoặc cập nhật của thông tin', 'C. Sự nổi tiếng của tác giả', 'D. Mức độ dài của bài viết']","B","Medium",""
"Q1.052","1.3_KiemChung","Trong mô hình RADCAB, chữ D viết tắt cho yếu tố nào?","['A. Định hướng', 'B. Detail', 'C. Data', 'D. Delay']","B","Medium",""
"Q1.053","1.3_KiemChung","Mô hình IMVAIN dùng nhiều trong lĩnh vực nào?","['A. Học đường', 'B. Công nghệ sinh học', 'C. Báo chí và truyền thông', 'D. Kỹ thuật phần mềm']","C","Medium",""
"Q1.054","1.3_KiemChung","Trong IMVAIN, Verified có nghĩa là gì?","['A. Được chia sẻ rộng rãi', 'B. Được xác minh bằng bằng chứng cụ thể', 'C. Được viết bằng tiếng Anh', 'D. Được người nổi tiếng nhắc đến']","B","Medium",""
"Q1.055","1.3_KiemChung","Trong mô hình DRAMA, yếu tố nào thay thế cho yếu tố “Purpose” trong mô hình CRAAP.","['A. Motivation', 'B. Accuracy', 'C. Authority', 'D. Date']","A","Medium",""
"Q1.056","1.3_KiemChung","Trong mô hình DRAMA, Motivation tập trung vào:","['A. Mức độ chi tiết', 'B. Động cơ của người viết', 'C. Ngôn ngữ cảm xúc', 'D. Địa điểm công bố thông tin']","B","Medium",""
"Q1.057","1.3_KiemChung","Bước đầu tiên trong SIFT là gì?","['A. Investigate the Source', 'B. Find better coverage', 'C. Stop', 'D. Trace']","C","Medium",""
"Q1.058","1.3_KiemChung","Lateral Reading là gì?","['A. Đọc theo chiều dọc nội dung', 'B. Đọc qua một nguồn duy nhất', 'C. Đọc ngang – tra cứu thêm nguồn khác', 'D. Đọc nội dung hài hước']","C","Medium",""
"Q1.059","1.3_KiemChung","Trong SIFT, “Find Better Coverage” nhắm đến việc gì?","['A. Tìm nguồn thông tin có nhiều lượt like', 'B. Tìm nguồn khác đáng tin cậy hơn', 'C. Tìm video minh họa', 'D. Tìm bài viết từ cá nhân']","B","Medium",""
"Q1.060","1.3_KiemChung","Công cụ nào sau đây KHÔNG nằm trong SIFT?","['A. Stop', 'B. Investigate', 'C. Analyze', 'D. Trace']","C","Medium",""
"Q1.061","1.4_XuLy","Phân tích dữ liệu là gì?","['A. Lưu trữ dữ liệu', 'B. Biến dữ liệu thành thông tin có giá trị', 'C. Xóa dữ liệu không cần thiết', 'D. Gửi email tự động']","B","Medium",""
"Q1.062","1.4_XuLy","Phân tích mô tả trả lời câu hỏi gì?","['A. Tại sao điều đó xảy ra?', 'B. Điều gì có thể xảy ra?', 'C. Điều gì đã xảy ra?', 'D. Làm gì tiếp theo?']","C","Medium",""
"Q1.063","1.4_XuLy","Phân tích chẩn đoán giúp xác định:","['A. Ai là người viết bài', 'B. Nguyên nhân hiện tượng', 'C. Tần suất xuất hiện', 'D. Độ dài bài viết']","B","Medium",""
"Q1.064","1.4_XuLy","Công cụ nào sau đây KHÔNG phải công cụ làm sạch dữ liệu?","['A. Pandas', 'B. Excel', 'C. PowerPoint', 'D. OpenRefine']","C","Medium",""
"Q1.065","1.4_XuLy","Phương pháp nào dùng để loại bỏ giá trị ngoại lai (outlier)?","['A. IQR, Z-score', 'B. Google search', 'C. AI chatbot', 'D. Filter mặc định']","A","Medium",""
"Q1.066","1.2_TimKiem","Tra cứu mạng là kỹ năng gì?","['A. Chia sẻ bài viết', 'B. Tìm kiếm và đánh giá thông tin trên Internet', 'C. Mở email', 'D. Xem phim trực tuyến']","B","Medium",""
"Q1.067","1.2_TimKiem","Tìm kiếm ngược hình ảnh dùng để:","['A. Tăng tốc độ tải ảnh', 'B. Biến ảnh thành văn bản', 'C. Xác minh nguồn gốc ảnh', 'D. Làm cho ảnh rõ nét hơn']","C","Medium",""
"Q1.068","1.3_KiemChung","Công cụ Google Fact Check Explorer giúp:","['A. Kiểm tra chính tả', 'B. Tìm kiếm video YouTube', 'C. Tìm các bài kiểm chứng thông tin', 'D. Dịch bài viết']","C","Medium",""
"Q1.069","1.3_KiemChung","Dấu hiệu nhận biết tin giả là gì?","['A. Bài viết dài', 'B. Nhiều số liệu', 'C. Tiêu đề giật gân, không có nguồn rõ ràng', 'D. Có hình ảnh sắc nét']","C","Medium",""
"Q1.070","1.3_KiemChung","Kiểm tra chéo thông tin có ý nghĩa gì?","['A. Chia sẻ nhiều nơi', 'B. Đối chiếu với nhiều nguồn để tăng độ chính xác', 'C. Tạo nhiều bản sao', 'D. Đăng tải lên mạng xã hội']","B","Medium",""
"Q1.071","1.4_XuLy","AI có thể giúp gì trong kiểm tra thông tin?","['A. Tăng tốc độ xác minh', 'B. Xoá thông tin', 'C. Thay đổi ý kiến', 'D. Giấu nguồn gốc']","A","Medium",""
"Q1.072","1.4_XuLy","Công cụ Copyleaks dùng để:","['A. Gửi email', 'B. Kiểm tra văn bản có phải do AI viết không', 'C. Tạo biểu đồ', 'D. Dịch ngôn ngữ']","B","Medium",""
"Q1.073","1.3_KiemChung","Công cụ giúp kiểm tra deepfake video là gì?","['A. InVID', 'B. Excel', 'C. Grammarly', 'D. Notion']","A","Medium",""
"Q1.074","1.1_TongQuan","NLP trong AI là viết tắt của gì?","['A. Natural Learning Protocol', 'B. National Level Prediction', 'C. Natural Language Processing', 'D. New Language Provider']","C","Medium",""
"Q1.075","1.1_TongQuan","Một nhược điểm của AI là gì?","['A. Chậm', 'B. Không phân tích được', 'C. Tốn chi phí triển khai', 'D. Không cần dữ liệu']","C","Medium",""
"Q1.076","1.3_KiemChung","Công cụ nào giúp xác minh hình ảnh?","['A. Canva', 'B. TinEye', 'C. Google Docs', 'D. Notepad']","B","Medium",""
"Q1.077","1.3_KiemChung","Hoaxy dùng để làm gì?","['A. Tìm lỗi chính tả', 'B. Theo dõi lan truyền thông tin', 'C. Dịch bài viết', 'D. Vẽ biểu đồ']","B","Medium",""
"Q1.078","1.4_XuLy","Mô hình BERT do tổ chức nào phát triển?","['A. Apple', 'B. Microsoft', 'C. OpenAI', 'D. Google']","D","Medium",""
"Q1.079","1.3_KiemChung","Wolfram Alpha giúp gì trong kiểm tra thông tin?","['A. Tạo bản trình chiếu', 'B. Tìm số liệu chính xác từ nguồn cấu trúc', 'C. Viết blog cá nhân', 'D. Dịch văn bản']","B","Medium",""
"Q1.080","1.3_KiemChung","FactCheck.org là tổ chức chuyên:","['A. Thiết kế đồ họa', 'B. Lập trình phần mềm', 'C. Kiểm chứng sự thật', 'D. Quảng bá thương hiệu']","C","Medium",""
"Q1.081","1.1_TongQuan","Dữ liệu số là gì?","['A. Văn bản được in trên giấy', 'B. Dữ liệu có thể lưu trữ, xử lý và truyền tải bằng máy tính', 'C. Dữ liệu được vẽ tay', 'D. Âm thanh không thu được']","B","Medium",""
"Q1.082","1.1_TongQuan","Thông tin số có thể biểu diễn dưới dạng:","['A. Chỉ văn bản', 'B. Hình ảnh và âm thanh', 'C. Nhiều dạng khác nhau như văn bản, âm thanh, hình ảnh, video', 'D. Dữ liệu bảng tính duy nhất']","C","Medium",""
"Q1.083","1.1_TongQuan","Trong môi trường số, kỹ năng thông tin số KHÔNG bao gồm:","['A. Khả năng tra cứu và đánh giá thông tin', 'B. Khả năng nấu ăn', 'C. Kỹ năng tìm kiếm, xác thực, tổ chức thông tin', 'D. Kỹ năng phân tích dữ liệu']","B","Medium",""
"Q1.084","1.1_TongQuan","Yếu tố nào sau đây thể hiện thông tin số chất lượng?","['A. Không có nguồn trích dẫn', 'B. Cập nhật mới nhất, chính xác, có nguồn gốc rõ ràng', 'C. Tạo từ trang mạng không xác định', 'D. Không cần xác thực']","B","Medium",""
"Q1.085","1.1_TongQuan","Một ví dụ về nguồn dữ liệu mở là:","['A. Facebook cá nhân', 'B. Wikipedia', 'C. Nhóm kín trên mạng xã hội', 'D. Tin đồn lan truyền']","B","Medium",""
"Q1.086","1.3_KiemChung","Mô hình CRAAP gồm mấy yếu tố chính?","['A. 2', 'B. 3', 'C. 5', 'D. 6']","C","Medium",""
"Q1.087","1.3_KiemChung","CRAAP: “Accuracy” dùng để đánh giá:","['A. Tính đầy đủ của nội dung', 'B. Tính chính xác của thông tin', 'C. Tác giả có nổi tiếng không', 'D. Hình thức trình bày bài viết']","B","Medium",""
"Q1.088","1.3_KiemChung","CRAAP: “Authority” tập trung vào:","['A. Người viết có thẩm quyền, chuyên môn không', 'B. Địa chỉ email của tác giả', 'C. Thời gian cập nhật', 'D. Cảm xúc người đọc']","A","Medium",""
"Q1.089","1.3_KiemChung","CRAAP: “Purpose” là gì?","['A. Mục tiêu và động cơ của nội dung thông tin', 'B. Màu sắc của bài viết', 'C. Độ dài văn bản', 'D. Tên miền trang web']","A","Medium",""
"Q1.090","1.3_KiemChung","CRAAP: “Currency” dùng để kiểm tra:","['A. Thời điểm tạo hoặc cập nhật thông tin', 'B. Giá trị tiền tệ', 'C. Vị trí địa lý', 'D. Tên tác giả']","A","Medium",""
"Q1.091","1.3_KiemChung","SIFT là viết tắt của mô hình nào?","['A. Source – Investigate – Fake – Truth', 'B. Stop – Investigate – Find – Trace', 'C. Study – Integrate – Filter – Track', 'D. Scan – Identify – Follow – Test']","B","Medium",""
"Q1.092","1.3_KiemChung","“Stop” trong SIFT có nghĩa là:","['A. Ngừng đọc mọi thứ', 'B. Tạm dừng để cân nhắc trước khi chia sẻ thông tin', 'C. Đóng ứng dụng', 'D. Xóa thông tin']","B","Medium",""
"Q1.093","1.3_KiemChung","“Investigate the source” nghĩa là:","['A. Tra cứu nguồn tin gốc để xác minh', 'B. Sao chép nội dung', 'C. Bình luận bài viết', 'D. Gửi email']","A","Medium",""
"Q1.094","1.3_KiemChung","“Trace claims, quotes and media” nghĩa là:","['A. Tìm nguồn gốc của thông tin hoặc phương tiện', 'B. Xem lượt thích', 'C. Dò dấu vết tội phạm', 'D. Dự đoán xu hướng']","A","Medium",""
"Q1.095","1.2_TimKiem","Công cụ Google Reverse Image Search dùng để:","['A. Vẽ hình ảnh', 'B. Tìm kiếm ngược hình ảnh', 'C. Biến ảnh thành văn bản', 'D. Tăng độ phân giải']","B","Medium",""
"Q1.096","1.3_KiemChung","RADCAB là công cụ gì?","['A. Đánh giá phương tiện di chuyển', 'B. Đánh giá chất lượng thông tin trên mạng', 'C. Chuyển đổi văn bản', 'D. Vẽ sơ đồ']","B","Medium",""
"Q1.097","1.3_KiemChung","RADCAB gồm bao nhiêu yếu tố?","['A. 5', 'B. 6', 'C. 7', 'D. 8']","B","Medium",""
"Q1.098","1.3_KiemChung","Yếu tố “Detail” trong RADCAB liên quan đến:","['A. Độ dài đoạn văn', 'B. Mức độ chi tiết trong nội dung', 'C. Dạng dữ liệu', 'D. Số lượt bình luận']","B","Medium",""
"Q1.099","1.3_KiemChung","DRAMA là mô hình cải tiến từ:","['A. CRAAP', 'B. SIFT', 'C. SWOT', 'D. PEST']","A","Medium",""
"Q1.100","1.3_KiemChung","“Motivation” trong DRAMA đánh giá:","['A. Ý định đằng sau nội dung', 'B. Chiều dài văn bản', 'C. Số người xem', 'D. Địa điểm viết bài']","A","Medium",""
"Q1.101","1.3_KiemChung","AI có thể giúp xác minh thông tin như thế nào?","['A. Làm giả thông tin', 'B. Kiểm tra sự thật tự động', 'C. Giấu nguồn tin', 'D. Tăng tương tác']","B","Medium",""
"Q1.102","1.3_KiemChung","Công cụ giúp kiểm tra văn bản AI viết là:","['A. Copyleaks', 'B. Paint', 'C. Zalo', 'D. YouTube']","A","Medium",""
"Q1.103","1.3_KiemChung","Deepfake là gì?","['A. Mã lỗi phần mềm', 'B. Video giả mạo bằng AI', 'C. Ứng dụng học ngôn ngữ', 'D. Bài báo khoa học']","B","Medium",""
"Q1.104","1.3_KiemChung","Công cụ InVID dùng để:","['A. Kiểm tra nguồn video', 'B. Làm video ca nhạc', 'C. Xử lý văn bản', 'D. Tạo biểu đồ']","A","Medium",""
"Q1.105","1.3_KiemChung","TinEye giúp xác minh:","['A. Văn bản', 'B. Video', 'C. Hình ảnh', 'D. Âm thanh']","C","Medium",""
"Q1.106","1.3_KiemChung","Tin giả thường có đặc điểm:","['A. Có nguồn gốc rõ ràng', 'B. Giật gân, không có căn cứ', 'C. Dễ kiểm chứng', 'D. Được xuất bản bởi chính phủ']","B","Medium",""
"Q1.107","1.3_KiemChung","Misinformation là gì?","['A. Thông tin sai do cố ý', 'B. Thông tin sai nhưng không cố ý', 'C. Thông tin thật', 'D. Thông tin quảng cáo']","B","Medium",""
"Q1.108","1.3_KiemChung","Disinformation là gì?","['A. Thông tin thiếu chính xác do lỗi đánh máy', 'B. Thông tin sai được chia sẻ có chủ đích', 'C. Dữ liệu học thuật', 'D. Sách in']","B","Medium",""
"Q1.109","1.3_KiemChung","Bias trong thông tin là:","['A. Dạng tin cũ', 'B. Thiên kiến hoặc lệch lạc trong đánh giá thông tin', 'C. Tên công cụ tìm kiếm', 'D. Mẫu tin chuẩn']","B","Medium",""
"Q1.110","1.3_KiemChung","Confirmation Bias là hiện tượng:","['A. Tìm kiếm thông tin trái niềm tin', 'B. Chỉ tin thông tin củng cố niềm tin có sẵn', 'C. Kiểm chứng thông tin ngẫu nhiên', 'D. Không tìm kiếm thông tin']","B","Medium",""
"Q1.111","1.3_KiemChung","Lateral Reading là gì?","['A. Đọc dọc', 'B. Đọc các nguồn khác nhau để xác minh', 'C. Đọc lướt', 'D. Đọc chậm']","B","Medium",""
"Q1.112","1.3_KiemChung","Công cụ nào giúp kiểm chứng tin lan truyền trên mạng?","['A. Hoaxy', 'B. Excel', 'C. TikTok', 'D. Word']","A","Medium",""
"Q1.113","1.3_KiemChung","FactCheck.org là:","['A. Trang blog cá nhân', 'B. Tổ chức kiểm chứng thông tin', 'C. Diễn đàn thảo luận', 'D. Công cụ dịch thuật']","B","Medium",""
"Q1.114","1.3_KiemChung","Snopes.com giúp:","['A. Tìm hình ảnh đẹp', 'B. Phân tích ngữ pháp', 'C. Kiểm tra độ xác thực của tin tức', 'D. Xem video']","C","Medium",""
"Q1.115","1.3_KiemChung","Công cụ kiểm tra AI-generated text:","['A. ChatGPT', 'B. GPTZero', 'C. Notepad', 'D. Zoom']","B","Medium",""
"Q1.116","1.3_KiemChung","Tại sao cần đánh giá thông tin số?","['A. Để giải trí', 'B. Để đảm bảo tiếp cận thông tin đúng, chính xác', 'C. Để giảm thời gian sử dụng Internet', 'D. Để tăng like']","B","Medium",""
"Q1.117","1.3_KiemChung","Một lợi ích của thông tin chính xác là gì?","['A. Gây hoang mang', 'B. Dễ bị giả mạo', 'C. Hỗ trợ ra quyết định hiệu quả', 'D. Giảm sự hiểu biết']","C","Medium",""
"Q1.118","1.3_KiemChung","Công cụ nào dưới đây KHÔNG dùng để xác minh thông tin?","['A. Google Fact Check', 'B. Wikipedia', 'C. Zalo Chat', 'D. TinEye']","C","Medium",""
"Q1.119","1.4_XuLy","Công cụ nào hỗ trợ phân tích dữ liệu số?","['A. Excel', 'B. TikTok', 'C. ZingMP3', 'D. Paint']","A","Medium",""
Q2.006,"2.1_NguyenTac","""Netiquette"" (Phép lịch sự trên mạng) chủ yếu đề cập đến điều gì?","['A. Các quy tắc về an ninh mạng', 'B. Các tiêu chuẩn ứng xử và giao tiếp có trách nhiệm trực tuyến', 'C. Các luật lệ về bản quyền nội dung số', 'D. Các giao thức kỹ thuật cho internet']",B,Medium,
Q2.007,"2.1_NguyenTac","Một địa chỉ e-mail bao gồm hai phần là tên miền và tên địa phương, được phân tách bằng ký hiệu nào?","['A. #', 'B. &', 'C. $', 'D. @']",D,Medium,
Q2.008,"2.1_NguyenTac",Giao tiếp hiệu quả trên nền tảng số yêu cầu kỹ năng nào sau đây?,"['A. Chỉ cần sử dụng mạng xã hội', 'B. Kỹ năng lắng nghe, phản hồi đúng lúc', 'C. Tạo ra nhiều nhóm chat', 'D. Dùng nhiều biểu tượng cảm xúc']",B,Medium,
